Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Воин Мегамен: Метеор,TV Сериал,55,10 мин,"['Сёнен', 'Экшен', 'Фантастика', 'Игры']",PG,Xebec,Takao Kato,7.08,https://shikimori.me/animes/1835-ryuusei-no-rockman
Легенда о перевороте: Роман о заклятых богах,TV Сериал,26,24 мин,"['Сёнен', 'Приключения', 'Фэнтези', 'Сверхъестественное', 'Исторический']",PG-13,Deen,Ryuu Fujisaki,7.08,https://shikimori.me/animes/1108-senkaiden-houshin-engi
"С днём рождения, прекрасным моментом жизни",Фильм,Не указано,1 час 19 мин,"['Детское', 'Драма', 'Повседневность']",G,Magic Bus,Tetsu Dezaki,7.08,https://shikimori.me/animes/9931-happy-birthday-inochi-kagayaku-toki
Искусство тени,TV Сериал,26,25 мин,"['Сёнен', 'Приключения', 'Драма', 'Фэнтези', 'Боевые', 'Супер']",PG-13,Deen,Megumu Okada,7.08,https://shikimori.me/animes/678-shadow-skill-eigi
Гиперполиция,TV Сериал,25,24 мин,"['Экшен', 'Комедия', 'Романтика', 'Фантастика', 'Полиция']",R-17,Pierrot,Takahiro Oomori,7.08,https://shikimori.me/animes/1180-hyper-police
Ирия: Зейрам,OVA,6,28 мин,"['Экшен', 'Приключения', 'Фантастика', 'Космос']",R+,Ashi,Keita Amemiya,7.08,https://shikimori.me/animes/432-iria-zeiram-the-animation
Истинный Робот Геттер против Нового Робота Геттера,OVA,4,27 мин,"['Сёнен', 'Экшен', 'Фантастика', 'Меха']",PG-13,Brain's Base,Ken Ishikawa,7.08,https://shikimori.me/animes/938-shin-getter-robo-tai-neo-getter-robo
Могучая Бёрди,OVA,4,33 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика']",PG-13,Madhouse,Masami Yuuki,7.08,https://shikimori.me/animes/566-tetsuwan-birdy
Токио Мяу Мяу,TV Сериал,52,24 мин,"['Сёдзё', 'Комедия', 'Фэнтези', 'Романтика', 'Фантастика']",PG-13,Pierrot,Reiko Yoshida,7.08,https://shikimori.me/animes/687-tokyo-mew-mew
Юнико на Волшебном острове,Фильм,Не указано,1 час 31 мин,"['Детское', 'Приключения', 'Фэнтези']",G,Madhouse,Osamu Tezuka,7.08,https://shikimori.me/animes/2429-unico-mahou-no-shima-e
Легенды и герои 3,ONA,42,16 мин,"['Экшен', 'Фэнтези', 'Сверхъестественное', 'Исторический', 'Боевые']",PG-13,Sparkly Key Animation,Не смог X2,7.08,https://shikimori.me/animes/38467-wu-geng-ji-zhi-san-jie
Несокрушимый Райдзин-О,TV Сериал,51,24 мин,"['Приключения', 'Фантастика', 'Меха', 'Школа']",G,Sunrise,Hajime Yatate,7.08,https://shikimori.me/animes/1897-zettai-muteki-raijin-oh
Девушки-пони: Славное дерби — Первая годовщина,Спешл,Не указано,7 мин,"['Комедия', 'Повседневность', 'Спорт']",PG-13,Kai,Erica Masaki,7.08,https://shikimori.me/animes/51225-uma-musume-pretty-derby-1st-anniversary-special-animation
Девушка на час 3,TV Сериал,6 / 12,23 мин,"['Комедия', 'Романтика', 'Сёнен']",PG-13,TMS,Reiji Miyajima,7.08,https://shikimori.me/animes/53050-kanojo-okarishimasu-3rd-season
Удивительный Зорори,TV Сериал,52,24 мин,"['Приключения', 'Комедия']",PG,Ajia-do,Yutaka Hara,7.08,https://shikimori.me/animes/3638-kaiketsu-zorori
Владыка духовного меча 4,ONA,309 / ?,11 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Романтика', 'Боевые']",PG-13,Soyep,Не смог X2,7.08,https://shikimori.me/animes/41884-ling-jian-zun-4th-season
Грязная парочка: Проект Эдем,Фильм,Не указано,1 час 21 мин,"['Экшен', 'Приключения', 'Комедия', 'Фантастика', 'Полиция']",PG-13,Sunrise,Haruka Takachiho,7.07,https://shikimori.me/animes/1796-dirty-pair-the-movie
Логическая ошибка,ONA,4,4 мин,"['Сёнен', 'Повседневность']",PG-13,Не смог,J. Soori,7.08,https://shikimori.me/animes/49202-semantic-error
Дораэмон: Нобита и Демон,Фильм,Не указано,1 час 32 мин,['Приключения'],PG,Shin-Ei,Fujiko F. Fujio,7.07,https://shikimori.me/animes/2671-doraemon-movie-03-nobita-no-daimakyou
Дораэмон: Параллельность Сайюки,Фильм,Не указано,1 час 30 мин,"['Приключения', 'Фэнтези', 'Фантастика']",PG,Shin-Ei,Fujiko F. Fujio,7.07,https://shikimori.me/animes/2658-doraemon-movie-09-nobita-no-parallel-saiyuuki
"Может, я встречу тебя в подземелье? Меч Оратории",TV Сериал,12,25 мин,"['Экшен', 'Приключения', 'Фэнтези']",PG-13,J.C.Staff,Fujino Oomori,7.07,https://shikimori.me/animes/y32887-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-gaiden-sword-oratoria
Уроки современного искусства OVA,OVA,Не указано,24 мин,"['Комедия', 'Повседневность', 'Школа']",PG-13,AIC,Satoko Kiyuzuki,7.07,https://shikimori.me/animes/6959-ga-geijutsuka-art-design-class-aozora-ga-kakitai
Непоседливая Манаби: Спецвыпуск,Спешл,Не указано,24 мин,"['Комедия', 'Фантастика', 'Повседневность', 'Школа']",G,ufotable,Takayuki Hirao,7.07,https://shikimori.me/animes/3219-gakuen-utopia-manabi-straight-natsu-da-manabi-da-kyouka-gasshuku-da
Галактические железные дороги,TV Сериал,26,24 мин,"['Экшен', 'Приключения', 'Драма', 'Фантастика', 'Космос']",PG-13,Planet,Leiji Matsumoto,7.07,https://shikimori.me/animes/1490-ginga-tetsudou-monogatari
Хочу взять пятое место,Фильм,Не указано,1 час 14 мин,"['Драма', 'Повседневность', 'Школа']",G,Tama,Etsuko Kishikawa,7.07,https://shikimori.me/animes/8120-gotou-ni-naritai
Великий Мазингер,TV Сериал,56,25 мин,"['Сёнен', 'Экшен', 'Фантастика', 'Меха']",PG-13,Toei,Go Nagai,7.07,https://shikimori.me/animes/5658-great-mazinger
Антидот,ONA,13,18 мин,"['Сёнен', 'Комедия', 'Повседневность']",PG-13,Seven Stone,Zhe Wu,7.07,https://shikimori.me/animes/41051-jie-yao
Боевой ангел Алита,OVA,2,30 мин,"['Сёнен', 'Драма', 'Фантастика', 'Меха']",R+,Madhouse,Yukito Kishiro,7.07,https://shikimori.me/animes/1016-gunnm
Фена: Принцесса пиратов,TV Сериал,12,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Исторический']",PG-13,Production I.G,Kazuto Nakazawa,7.07,https://shikimori.me/animes/42544-kaizoku-oujo
Канон,TV Сериал,13,24 мин,"['Драма', 'Романтика', 'Сверхъестественное']",G,Toei,Naoki Hisaya,7.07,https://shikimori.me/animes/144-kanon
Бородатая цыпа,TV Сериал,39,5 мин,['Комедия'],PG,Kinema Citrus,Risa Itou,7.07,https://shikimori.me/animes/5983-higepiyo
Школа мертвецов,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Ужасы', 'Сверхъестественное', 'Этти']",R+,Madhouse,Daisuke Satou,7.07,https://shikimori.me/animes/z8074-highschool-of-the-dead
Дымная трава,TV Сериал,12,23 мин,"['Фэнтези', 'Фантастика']",PG-13,Yaoyorozu,Tatsuki,7.07,https://shikimori.me/animes/37302-kemurikusa-tv
Детское подразделение: Рассвет правды,Фильм,Не указано,1 час 30 мин,"['Экшен', 'Фантастика', 'Меха', 'Супер']",PG-13,Gonzo,Keiji Gotou,7.07,https://shikimori.me/animes/3223-kiddy-grade-truth-dawn
Бессмертный Гран-При,TV Сериал,13,23 мин,"['Сёнен', 'Драма', 'Фантастика', 'Спорт', 'Меха']",PG-13,Production I.G,Mitsuru Hongou,7.07,https://shikimori.me/animes/3270-igpx-immortal-grand-prix-2005
Мобильный воин Гандам Зета: Новый перевод III — Любовь под пульсацией звёзд,Фильм,Не указано,1 час 40 мин,"['Драма', 'Фантастика', 'Меха', 'Военное', 'Космос']",PG-13,Sunrise,Hajime Yatate,7.07,https://shikimori.me/animes/1969-kidou-senshi-z-gundam-iii-hoshi-no-kodou-wa-ai
Тёмный дворецкий: День святого Валентина,Спешл,Не указано,17 мин,"['Сверхъестественное', 'Демоны']",PG-13,A-1 Pictures,Yana Toboso,7.07,https://shikimori.me/animes/8068-kuroshitsuji-picture-drama
Изгнанник: Среброкрылая Фам,TV Сериал,21,24 мин,"['Экшен', 'Приключения', 'Фантастика']",PG-13,Gonzo,Kouichi Chigira,7.07,https://shikimori.me/animes/10336-last-exile-ginyoku-no-fam
Бугипоп никогда не смеётся (2019),TV Сериал,18,23 мин,"['Безумие', 'Драма', 'Ужасы', 'Детектив', 'Сверхъестественное', 'Психологическое']",R-17,Madhouse,Kouhei Kadono,7.07,https://shikimori.me/animes/37451-boogiepop-wa-warawanai-2019
Космические приключения Кобры,TV Сериал,13,24 мин,"['Экшен', 'Приключения', 'Фантастика', 'Космос']",R+,Magic Bus,Buichi Terasawa,7.07,https://shikimori.me/animes/5032-cobra-the-animation
Топить в вине бушующее пламя печали,ONA,12,20 мин,"['Экшен', 'Драма', 'Сверхъестественное']",PG-13,Shengying,Priest,7.07,https://shikimori.me/animes/44064-lie-huo-jiao-chou
Код Гиас: Отступник Акито 2 — Разрыв Виверны. Спецвыпуск,Спешл,Не указано,12 мин,"['Экшен', 'Комедия', 'Военное']",PG-13,Sunrise,Grégory Laisné,7.07,https://shikimori.me/animes/23359-code-geass-boukoku-no-akito-2-hikisakareshi-yokuryuu-picture-drama
В поисках Дельторы,TV Сериал,65,25 мин,"['Детское', 'Приключения', 'Фэнтези']",PG-13,OLM,Mitsuru Hongou,7.07,https://shikimori.me/animes/1826-deltora-quest
Невеста чародея: Колледж,ONA,Не указано,3 мин,"['Фэнтези', 'Сёнен']",PG-13,Wit,Kouichi Naruse,7.07,https://shikimori.me/animes/40134-mahoutsukai-no-yome-gakuin-hen
Клуб любителей магии OVA,OVA,6,28 мин,"['Комедия', 'Фэнтези', 'Романтика', 'Фантастика']",PG-13,Triangle Staff,Junichi Satou,7.07,https://shikimori.me/animes/629-mahoutsukai-tai
Экс-эволюция Дигитального Монстра,Фильм,Не указано,1 час 20 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Фантастика']",PG,Toei,Akiyoshi Hongou,7.07,https://shikimori.me/animes/2123-digimon-x-evolution
"Мяу, исполняющая мечты",TV Сериал,48,24 мин,"['Детское', 'Приключения', 'Фэнтези']",G,J.C.Staff,Hiroaki Sakurai,7.07,https://shikimori.me/animes/40327-mewkledreamy
Минки Момо: Мост сквозь мечты,OVA,Не указано,38 мин,"['Сёдзё', 'Драма', 'Повседневность']",G,Asahi,Takeshi Shudou,7.07,https://shikimori.me/animes/3462-minky-momo-in-yume-ni-kakeru-hashi
Семь смертных грехов 2: Возрождение заповедей,OVA,Не указано,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,A-1 Pictures,Nakaba Suzuki,7.07,https://shikimori.me/animes/38198-nanatsu-no-taizai-eiyuu-tachi-wa-hashagu
Нэгима?! Весенний спецвыпуск?!,OVA,Не указано,24 мин,"['Сёнен', 'Комедия', 'Фэнтези', 'Романтика', 'Этти', 'Гарем', 'Супер']",PG-13,Shaft,Ken Akamatsu,7.07,https://shikimori.me/animes/1619-negima-haru-special
Жизнь без оружия 2,TV Сериал,12,23 мин,"['Сэйнэн', 'Экшен', 'Драма', 'Фантастика']",PG-13,Madhouse,Tasuku Karasuma,7.07,https://shikimori.me/animes/40529-no-guns-life-2nd-season
Ван-Пис: Запасной план. Идеальный метод захвата Ван-Пис,Спешл,Не указано,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Toei,Eiichiro Oda,7.07,https://shikimori.me/animes/16143-one-piece-kinkyuu-kikaku-one-piece-kanzen-kouryakuhou
"Расскажи нам, Гяруко! Неужто летние каникулы?",OVA,Не указано,28 мин,['Комедия'],PG-13,feel.,Kenya Suzuki,7.07,https://shikimori.me/animes/33949-oshiete-galko-chan-natsuyasumi-tte-hontou-desu-ka
Покемон XY&Z: Спецвыпуски,Спешл,2,23 мин,"['Детское', 'Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG,OLM,Mariya Ise,7.07,https://shikimori.me/animes/34325-pokemon-xy-z-specials
Поконян!,TV Сериал,170,10 мин,"['Детское', 'Комедия', 'Фэнтези']",PG,21,Fujiko F. Fujio,7.07,https://shikimori.me/animes/6779-pokonyan
Перевозчик Бин,OVA,Не указано,46 мин,"['Сэйнэн', 'Экшен', 'Машины', 'Полиция']",R+,AIC,Kenichi Sonoda,7.07,https://shikimori.me/animes/917-riding-bean
Ракетные девочки,TV Сериал,12,23 мин,"['Приключения', 'Фантастика', 'Космос']",PG-13,Mook DLE,Housuke Nojiri,7.07,https://shikimori.me/animes/1942-rocket-girls
Как воспитать героиню из обычной девушки: Пилотный эпизод,Спешл,Не указано,23 мин,"['Комедия', 'Романтика', 'Этти', 'Гарем']",PG-13,A-1 Pictures,Fumiaki Maruto,7.07,https://shikimori.me/animes/29317-saenai-heroine-no-sodatekata-ai-to-seishun-no-service-kai
Моя девушка — совершенное оружие: Другая песня о любви,OVA,2,30 мин,"['Драма', 'Романтика', 'Фантастика']",R+,Fantasia,Shin Takahashi,7.07,https://shikimori.me/animes/609-saishuu-heiki-kanojo-another-love-song
